iter	Passed	Remaining
925	1747	139
926	1749	137
927	1751	135
928	1752	133
929	1754	132
930	1756	130
931	1758	128
932	1760	126
933	1762	124
934	1764	122
935	1766	120
936	1767	118
937	1769	116
938	1772	115
939	1773	113
940	1775	111
941	1777	109
942	1779	107
943	1781	105
944	1783	103
945	1785	101
946	1787	100
947	1788	98
948	1790	96
949	1792	94
950	1794	92
951	1796	90
952	1798	88
953	1800	86
954	1802	84
955	1803	83
956	1805	81
957	1807	79
958	1809	77
959	1811	75
960	1813	73
961	1815	71
962	1817	69
963	1818	67
964	1820	66
965	1822	64
966	1824	62
967	1826	60
968	1828	58
969	1830	56
970	1831	54
971	1833	52
972	1835	50
973	1837	49
974	1839	47
975	1841	45
976	1843	43
977	1845	41
978	1846	39
979	1848	37
980	1850	35
981	1852	33
982	1854	32
983	1856	30
984	1858	28
985	1859	26
986	1861	24
987	1863	22
988	1865	20
989	1867	18
990	1869	16
991	1870	15
992	1872	13
993	1874	11
994	1876	9
995	1878	7
996	1880	5
997	1882	3
998	1884	1
999	1885	0
